# Table from https://en.wikipedia.org/wiki/List_of_cities_in_Germany_by_population
2015 rank,City,State,2015 Estimate,2011 Census,Change,2015 land area,2015 population density,Location
63,Heilbronn,Baden-Württemberg,"122,567","116,059",+5.61%,99.88 km238.56 sq mi,"1,227/km23,180/sq mi",49°9′N 9°13′E﻿ / ﻿49.150°N 9.217°E
64,Pforzheim,Baden-Württemberg,"122,247","114,411",+6.85%,98 km238 sq mi,"1,247/km23,230/sq mi",48°54′N 8°43′E﻿ / ﻿48.900°N 8.717°E
65,Göttingen,Lower Saxony,"118,914","115,843",+2.65%,116.89 km245.13 sq mi,"1,017/km22,630/sq mi",51°32′N 9°56′E﻿ / ﻿51.533°N 9.933°E
66,Bottrop,North Rhine-Westphalia,"117,143","117,311",−0.14%,100.61 km238.85 sq mi,"1,164/km23,010/sq mi",51°31′29″N 6°55′22″E﻿ / ﻿51.52472°N 6.92278°E
67,Trier,Rhineland-Palatinate,"114,914","105,671",+8.75%,117.13 km245.22 sq mi,"981/km22,540/sq mi",49°45′N 6°38′E﻿ / ﻿49.750°N 6.633°E
68,Recklinghausen,North Rhine-Westphalia,"114,330","115,958",−1.40%,66.5 km225.7 sq mi,"1,719/km24,450/sq mi",51°35′6″N 7°9′43″E﻿ / ﻿51.58500°N 7.16194°E
69,Reutlingen,Baden-Württemberg,"114,310","109,799",+4.11%,87.06 km233.61 sq mi,"1,313/km23,400/sq mi",48°29′N 9°13′E﻿ / ﻿48.483°N 9.217°E
70,Bremerhaven,Bremen,"114,025","108,156",+5.43%,93.66 km236.16 sq mi,"1,217/km23,150/sq mi",53°33′N 8°35′E﻿ / ﻿53.550°N 8.583°E
71,Koblenz,Rhineland-Palatinate,"112,586","107,825",+4.42%,105.16 km240.60 sq mi,"1,071/km22,770/sq mi",50°21′35″N 7°35′52″E﻿ / ﻿50.35972°N 7.59778°E
72,Bergisch Gladbach,North Rhine-Westphalia,"111,366","108,878",+2.29%,83.09 km232.08 sq mi,"1,340/km23,500/sq mi",51°6′N 7°7′E﻿ / ﻿51.100°N 7.117°E
73,Jena,Thuringia,"109,527","105,739",+3.58%,114.76 km244.31 sq mi,"954/km22,470/sq mi",50°55′38″N 11°35′10″E﻿ / ﻿50.92722°N 11.58611°E
74,Remscheid,North Rhine-Westphalia,"109,499","110,708",−1.09%,74.52 km228.77 sq mi,"1,469/km23,800/sq mi",51°11′N 7°12′E﻿ / ﻿51.183°N 7.200°E
75,Erlangen,Bavaria,"108,336","103,719",+4.45%,76.95 km229.71 sq mi,"1,408/km23,650/sq mi",49°35′N 11°1′E﻿ / ﻿49.583°N 11.017°E
76,Moers,North Rhine-Westphalia,"104,529","104,009",+0.50%,67.68 km226.13 sq mi,"1,544/km24,000/sq mi",51°27′33″N 6°37′11″E﻿ / ﻿51.45917°N 6.61972°E
77,Siegen,North Rhine-Westphalia,"102,355","99,187",+3.19%,114.69 km244.28 sq mi,"892/km22,310/sq mi",50°53′N 8°1′E﻿ / ﻿50.883°N 8.017°E
78,Hildesheim,Lower Saxony,"101,667","99,554",+2.12%,92.18 km235.59 sq mi,"1,103/km22,860/sq mi",52°9′N 9°57′E﻿ / ﻿52.150°N 9.950°E
79,Salzgitter,Lower Saxony,"101,079","98,895",+2.21%,223.92 km286.46 sq mi,"451/km21,170/sq mi",52°9′N 10°20′E﻿ / ﻿52.150°N 10.333°E
